2026-06-09 16:01:28 | INFO | Exporting star schema workbook
2026-06-09 16:01:28 | INFO | Exporting sheet ⭐ Schema Guide with 25 row(s)
2026-06-09 16:01:28 | ERROR | Generation failed: Could not export star schema workbook: 'DataFrame' object has no attribute 'tolist'
2026-06-09 16:01:29 | INFO | Starting attendance star schema generation
2026-06-09 16:01:29 | INFO | Input file: C:\Users\Prathamesh\AppData\Local\Temp\pytest-of-Prathamesh\pytest-6\test_cli_smoke_generates_workb0\input.xlsx
2026-06-09 16:01:29 | INFO | Reading Excel workbook
2026-06-09 16:01:29 | INFO | Sheet read: Raw Data
2026-06-09 16:01:29 | INFO | Rows read: 2
2026-06-09 16:01:29 | INFO | Validating required columns
2026-06-09 16:01:29 | INFO | Cleaning raw attendance rows
2026-06-09 16:01:29 | INFO | Blank rows removed: 0
2026-06-09 16:01:29 | INFO | Duplicates removed: 0
2026-06-09 16:01:29 | INFO | Rows after cleaning: 2
2026-06-09 16:01:29 | INFO | Invalid dates converted to null: 0
2026-06-09 16:01:29 | INFO | Invalid times converted to null: 0
2026-06-09 16:01:29 | INFO | Building DIM_Employee
2026-06-09 16:01:29 | INFO | DIM_Employee count: 2
2026-06-09 16:01:29 | INFO | Building DIM_Date
2026-06-09 16:01:29 | INFO | DIM_Date count: 2
2026-06-09 16:01:29 | INFO | Building DIM_Cost_Centre
2026-06-09 16:01:29 | INFO | DIM_Cost_Centre count: 2
2026-06-09 16:01:29 | INFO | Building DIM_Shift
2026-06-09 16:01:29 | INFO | DIM_Shift count: 2
2026-06-09 16:01:29 | INFO | Building DIM_Attendance_Type
2026-06-09 16:01:29 | INFO | DIM_Attendance_Type count: 2
2026-06-09 16:01:29 | INFO | Building DIM_Remarks
2026-06-09 16:01:29 | INFO | DIM_Remarks count: 1
2026-06-09 16:01:29 | INFO | Building FACT_Attendance
2026-06-09 16:01:29 | INFO | FACT_Attendance count: 2
2026-06-09 16:01:29 | INFO | Validating foreign keys
2026-06-09 16:01:29 | INFO | Foreign key validation passed
2026-06-09 16:01:29 | INFO | Exporting star schema workbook
2026-06-09 16:01:29 | INFO | Exporting sheet ⭐ Schema Guide with 25 row(s)
2026-06-09 16:01:30 | ERROR | Generation failed: Could not export star schema workbook: 'DataFrame' object has no attribute 'tolist'
2026-06-09 16:02:09 | INFO | Starting attendance star schema generation
2026-06-09 16:02:09 | INFO | Input file: C:\Users\Prathamesh\AppData\Local\Temp\pytest-of-Prathamesh\pytest-7\test_export_workbook_contains_0\input.xlsx
2026-06-09 16:02:09 | INFO | Reading Excel workbook
2026-06-09 16:02:10 | INFO | Sheet read: Raw Data
2026-06-09 16:02:10 | INFO | Rows read: 2
